CustomerId,Recency,Frequency,Monetary_Total,Monetary_Mean,Monetary_Std,ChannelId,Cluster,Risk_Label
CustomerId_1,83,1,-10000.0,-10000.0,0.0,ChannelId_2,2,1
CustomerId_10,83,1,-10000.0,-10000.0,0.0,ChannelId_2,2,1
CustomerId_1001,89,5,20000.0,4000.0,6558.963332722634,ChannelId_3,2,1
CustomerId_1002,25,11,4225.0,384.09090909090907,560.4989660196449,ChannelId_2,0,0
CustomerId_1003,11,6,20000.0,3333.3333333333335,6030.478145774734,ChannelId_3,1,0
CustomerId_1004,52,1,2000.0,2000.0,0.0,ChannelId_3,0,0
CustomerId_1005,46,9,48800.0,5422.222222222223,5983.6815126178335,ChannelId_3,0,0
CustomerId_1006,64,1,1000.0,1000.0,0.0,ChannelId_3,2,1
CustomerId_1007,81,1,28000.0,28000.0,0.0,ChannelId_3,2,1
CustomerId_1008,65,2,20000.0,10000.0,0.0,ChannelId_3,2,1
CustomerId_1009,27,1,500.0,500.0,0.0,ChannelId_3,0,0
CustomerId_1010,41,7,26335.0,3762.1428571428573,4971.798816946486,ChannelId_3,0,0
CustomerId_1012,4,74,124906.0,1687.918918918919,3441.4863138083697,ChannelId_3,1,0
CustomerId_1014,49,8,763880.0,95485.0,119332.84340149493,ChannelId_3,0,0
CustomerId_1016,4,5,20000.0,4000.0,6745.368781616021,ChannelId_3,1,0
CustomerId_1020,26,203,292195.0,1439.384236453202,2500.4482251946347,ChannelId_3,0,0
CustomerId_1021,77,1,5000.0,5000.0,0.0,ChannelId_3,2,1
CustomerId_1022,34,1,7000.0,7000.0,0.0,ChannelId_3,0,0
CustomerId_1025,11,16,17200.0,1075.0,1803.6536992079898,ChannelId_3,1,0
CustomerId_1027,0,14,26770.0,1912.142857142857,3484.2705418482087,ChannelId_3,1,0
CustomerId_1028,25,1,500.0,500.0,0.0,ChannelId_3,0,0
CustomerId_1029,7,9,51000.0,5666.666666666667,8692.669325356856,ChannelId_3,1,0
CustomerId_1030,30,8,2350.0,293.75,713.8614811612364,ChannelId_2,0,0
CustomerId_1031,14,50,106838.8,2136.776,4615.395748241059,ChannelId_3,1,0
CustomerId_1032,33,2,2000.0,1000.0,0.0,ChannelId_3,0,0
CustomerId_1033,66,2,950.0,475.0,742.4621202458749,ChannelId_2,2,1
CustomerId_1034,8,16,40508.0,2531.75,7896.613345816885,ChannelId_3,1,0
CustomerId_1036,90,3,-50.0,-16.666666666666668,1000.4165798972613,ChannelId_2,2,1
CustomerId_1038,11,5,19000.0,3800.0,6685.805860178712,ChannelId_3,1,0
CustomerId_1039,11,30,248895.0,8296.5,10395.940284387541,ChannelId_3,1,0
CustomerId_1040,37,1,50000.0,50000.0,0.0,ChannelId_3,0,0
CustomerId_1043,46,6,14000.0,2333.3333333333335,6976.14984548545,ChannelId_2,0,0
CustomerId_1044,47,16,21848.5,1365.53125,2064.1874064527988,ChannelId_3,0,0
CustomerId_1048,42,1,1000.0,1000.0,0.0,ChannelId_3,0,0
CustomerId_1050,53,1,5000.0,5000.0,0.0,ChannelId_3,0,0
CustomerId_1052,23,7,56900.0,8128.571428571428,18504.47822246589,ChannelId_3,1,0
